compound_id,modification
OXNv12.2,Ac-G(S5)QGR(S5)QRLLQASGNHAAGILT(Nle)-NH2
OXNv14.15,RSGPPGLQGRLQ(hArg)LLQASGNHAAGILTM-NH2
OXNv14.16,RSGPPGLQGRLQ(beta-homo-Arg)LLQASGNHAAGILTM-NH2
OXNv15.7,RSGPPGLQG(hArg)LQRLLQASGNHAAGILTM-NH2
OXNv16.13,RSGPPGLQGRLQRLL(His)(Gly)(Ala)GNHAAGILTM-NH2
OXNv16.18,RSGPPGLQGRLQRLLQ(Gly)(Ala)GNHAAGILTM-NH2
OXNv16.19,RSGPPGLQGRLQRLLQ(Aib)(alpha-Me-Ser)GNHAAGILTM-NH2
OXNv16.20,RSGPPGLQGRLQRLLQ(Ser)SGNHAAGILTM-NH2
OXNv2,hardened OXB: D-Leu15
OXNv25.10,RSGPP GLQGR L(Tyr)RLL Q(Gly)SGN HAAGI LT(Nle)-NH2
OXNv25.3,RSGPP GLQGR LQRLL Q(Gly)SGN HAAGI LTM-NH2
OXNv25.5,RSGPP GLQGR L(Tyr)(Glu)LL QASGN HAAGI LTM-NH2
OXNv25.6,RSGPP GLQGR L(Tyr)RLL Q(Gly)SGN HAAGI LTM-NH2
OXNv25.7,RSGPP GLQGR L(Tyr)(Glu)LL Q(Gly)SGN HAAGI LTM-NH2
OXNv25.9,RQK GLQGR LYRLL QGSGN HAAGI LTM-NH2
OXNv7,Orexin A: pGlu- PLPD CCRQK TCSC**R L**YE**LL** HGA**GN HAAGI LT**L-NH2
