task,family,bucket,claude_orig,claude_san,claude_flip,codex_orig,codex_san,codex_flip
mch-easy-014,MCH,easy,0.0,0.0,unchanged,0.0,,
mch-easy-015,MCH,easy,1.0,1.0,unchanged,1.0,0.0,right→wrong
mch-hard-005,MCH,hard,0.0,0.0,unchanged,0.0,0.0,unchanged
mch-medium-006,MCH,medium,1.0,1.0,unchanged,1.0,1.0,unchanged
mch-medium-007,MCH,medium,0.0,0.0,unchanged,0.0,0.0,unchanged
mch-medium-008,MCH,medium,1.0,1.0,unchanged,1.0,1.0,unchanged
mch-trivial-018,MCH,trivial,0.0,1.0,wrong→right,0.0,0.0,unchanged
nps-easy-014,NPS,easy,0.0,0.0,unchanged,0.0,0.0,unchanged
oxn-hard-003,OXN,hard,0.0,1.0,wrong→right,1.0,1.0,unchanged
oxn-medium-009,OXN,medium,0.0,0.0,unchanged,1.0,0.0,right→wrong
oxn-trivial-017,OXN,trivial,0.0,0.0,unchanged,0.0,0.0,unchanged
oxn-trivial-020,OXN,trivial,1.0,0.0,right→wrong,1.0,1.0,unchanged
